source;n
geese;51
crane;50
crow;43
blackbird;36
sparrow;24
pigeon;20
parakeets;18
swan;16
mallard;12
startling;12
eurasian teal;7
eurasin wigeon;7
garganey;7
great egret;7
ruddy shelduck;7
greenfinches;5
quelea;5
weavers;4
great bustard;3
black-cheeked lovebird ;2
blue-black grassquit;2
cockatoo;2
common myna;2
cowbirds;2
dickcissel;2
finches;2
flamingo;2
horned larks;2
munia;2
mynah;2
purple swamphen;2
regent parrot ;2
robins;2
Mynah;1
american goldfinches;1
arctic-breeding pink-footed;1
baya weaver;1
chukar;1
common rackles;1
crimson rosellas;1
egrets;1
glossy ibis;1
house finches;1
indian peafowl;1
lesser whistling duck;1
noisy friarbirds;1
noisy miners;1
partridges;1
pied currawongs;1
red-billed quelea;1
red-vented bulbul;1
ring-billed gulls;1
ring-necked pheasants;1
scaly-breasted munia;1
silvereyes;1
skylark;1
weaver;1
white stork;1
wild turkey;1
with red wattlebirds;1
woodpecker;1
yellow-faced honeyeaters;1
